Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish

gunTacticalARFull,,items,Item,New,Tactical AR Auto,,,,,
TacticalARFullDesc,item_modifiers,Mod,,,Mad!,,,,,

gunMadTacticalARFullDEV,,items,Item,New,Mad AR Auto,,,,,
MadTacticalARFullDEVDesc,item_modifiers,Mod,,,Mad Killer!,,,,,

gunMadAkDiggerToolDEV,,items,Item,New,Mad Digger,,,,,
MadAkDiggerToolDEVDesc,item_modifiers,Mod,,,Digs and give you the shit!,,,,,


modNightvision,,items,Item,New,Nightvision Mod,,,,,
modNightvisionDesc,,items,Item,New,This module can be installed into your head gear.,,,,,

SuperNailgun,,items,Item,New,Super Nailgun
SuperNailgunDesc,,items,Item,New,Super Nailgun is the endgame TOOL!,,,,,



Miner69rLevel05,progression,Attribute,,,Miner69r Level 5,,,,,
reqSalvageOperationsLevel05,progression,Attribute,,,Salvage Operations Level 5,,,,,
reqAdvancedEngineeringLevel05,progression,Attribute,,,Advanced Engineering Level 5,,,,,
reqGreaseMonkeyLevel05,progression,Attribute,,,GreaseMonkey Level 5,,,,,
reqPowerToolExpertLevel05,progression,Attribute,,,Power Tool Expert Level 5,,,,,
reqLamModPowerBonusLevel05,progression,Attribute,,,Mod Power Bonus Level 5,,,,,

MadClownWorld,progression,Attribute,,,[FFA500]MadClownWorld's Perks,,,,,
MadClownWorldItemsDesc,progression,Attribute,,,This is for MadClownWorld Items and Perks For unlock.,,,,,
DamageVsSpeedDesc,progression,Attribute,,,This unlocks a mod: \nDamage 20% UP\nRounds Per Minute Down 40% \nAttacks Per Minute Down 40% \nTHE END GAME MOD!,,,,,
SuperNailgunDesc,progression,Attribute,,,This unlocks the SuperNailgun! \nTHE END GAME Tool!,,,,,

ModDMG1,,items,Item,New,6% Damage Mod
ModDMG1Desc,,items,Item,New,"Install this module into your tool or weapon for: \n6% More DMG \n20% Less Degradation Taken",,,,,
ModDMG2,,items,Item,New,12% Damage Mod
ModDMG2Desc,,items,Item,New,"Install this module into your tool or weapon for: \n12% More DMG \n30% Less Degradation Taken",,,,,
ModDMG3,,items,Item,New,18% Damage Mod
ModDMG3Desc,,items,Item,New,"Install this module into your tool or weapon for: \n18% More DMG \n40% Less Degradation Taken",,,,,
ModDMG4,,items,Item,New,24% Damage Mod
ModDMG4Desc,,items,Item,New,"Install this module into your tool or weapon for: \n24% More DMG \n50% Less Degradation Taken",,,,,
ModDMG5,,items,Item,New,30% Damage Mod
ModDMG5Desc,,items,Item,New,"Install this module into your tool or weapon for: \n30% More DMG \n60% Less Degradation Taken",,,,,

modDMGvSpeed,,items,Item,New,Damage Vs Speed,,,,,
modDMGvSpeedDesc,,items,Item,New,Damage 20% UP\nRounds Per Minute Down 40% \nAttacks Per Minute Down 40%,,,,,


perkMoreCropDesc,progression,Attribute,,,This perk lets you get even more from crops.,,,,,
perkMoreCropRank1Desc,progression,Attribute,,,Rank 1,,,,,
perkMoreCropRank1LongDesc,progression,Attribute,,,Yield 1 More From Crops,,,,,
perkMoreCropRank2Desc,progression,Attribute,,,Rank 2,,,,,
perkMoreCropRank2LongDesc,progression,Attribute,,,Yield 2 More From Crops,,,,,
perkMoreCropRank3Desc,progression,Attribute,,,Rank 3,,,,,
perkMoreCropRank3LongDesc,progression,Attribute,,,Yield 3 More From Crops,,,,,
perkMoreCropRank4Desc,progression,Attribute,,,Rank 4,,,,,
perkMoreCropRank4LongDesc,progression,Attribute,,,Yield 4 More From Crops,,,,,
perkMoreCropRank5Desc,progression,Attribute,,,Rank 5,,,,,
perkMoreCropRank5LongDesc,progression,Attribute,,,Yield 5 More From Crops,,,,,

DescSpeedyHarvest,progression,attribute,,,Tired of slowly farming your resources ?\nDump some skill points into this tree.\nTo speed along the process.,,,,,
SlothDesc,progression,attribute,,,For Tools Only: \nAttack Rate UP 10% \nRounds Per Minute 10% \nStamina usage Per Swing -5%,,,,,
TurtleDesc,progression,attribute,,,For Tools Only: \nAttack Rate UP 20% \nRounds Per Minute 20% \nStamina usage Per Swing -10%,,,,,
